track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,0
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,45,0,107,0,0
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256,54,21,57,1,0
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,56,8,104,0,10
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,33,102,93,0,30
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,52,15,35,0,1
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,138,24,133,0,1
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188,75,268,6,16
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,540539717,42,2,57,0,
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,63,40,76,0,0
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,47,14,90,0,1
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0,1,2,0,0
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,77,31,85,5,28
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,1445941661,231,52,612,6,
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189,166,525,9,25
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,20,4,15,1,3
Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090,41,122,394,0,2
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,86,76,59,0,16
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,421040617,105,2,73,13,1
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661,43,15,116,0,
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,69,3,70,0,3
Butter,BTS,1,2021,5,21,4779,6,1143647827,180,135,223,0,5
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,54,28,43,0,0
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,83,9,100,0,4
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,117,39,141,0,46
Dynamite,BTS,1,2020,8,21,8528,5,1692897992,239,163,583,0,
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,44,0,159,0,0
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,110,145,447,0,46
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,17,5,21,0,0
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,101,34,70,1,2
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,237,123,569,0,10
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,45,43,45,0,3
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746,171,51,187,1,21
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,54,0,0
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11,4640,3,374706940,81,93,507,6,4
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20,38,12,0,0
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,0
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418,24,47,74,0,0
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,23,21,121,0,13
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,111,5,182,1,0
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,42,70,384,0,3
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3,0,5,0,0
ELEVEN,IVE,1,2021,12,1,521,1,247737946,17,89,11,0,0
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,1699402402,237,27,636,0,
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,13,27,8,0,0
DANCE CRIP,Trueno,1,2021,11,17,731,0,198883004,14,14,24,0,4
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,0
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,25,46,105,0,45
Praise God,Kanye West,1,2021,8,29,4651,0,376333030,24,6,105,0,0
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,43,19,73,12,0
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,205,130,625,0,25
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,25,3,52,0,1
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78
Sobrio,Maluma,1,2021,7,8,3506,10,513643924,103,76,100,1,1
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60,17,154,0,22
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,20,21,99,0,7
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,54,16,259,0,13
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,255,32,582,0,14
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873,175,55,95,0,2
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,65,88,434,3,13
Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,7,3,89,0,0
The Feels,TWICE,1,2021,10,1,1150,0,345903614,20,99,44,0,2
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566,111,127,210,0,37
No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,92,127,"1,219",0,62
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,122,11,201,0,1
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,0
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,29,0,44,0,0
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,39,45,250,0,0
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,1959,0,412795151,19,0,38,0,0
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,146,18,478,0,7
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,101,12,38,0,0
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,30,2,5,0,6
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,5,0,862,0,0
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,167,19,318,0,1
The Nights,Avicii,1,2014,1,1,17354,8,1456081449,92,122,"1,282",0,55
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334,174,73,344,0,0
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,144,30,86,0,0
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382,36,82,39,0,5
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,0
Dance Monkey,Tones and I,1,2019,5,10,24529,0,2864791672,533,167,"3,595",6,
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,188,34,710,0,5
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,92,34,131,0,0
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308,118,"4,534",2,77
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,"12,367",4,160
Arcade,Duncan Laurence,1,2019,3,7,6646,0,991336132,107,47,584,1,
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,118,116,96,0,3
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22,3,0,0,0
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,0
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,114,15,63,0,2
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,"5,063",2,120
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,0
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,93,5,67,1,0
Streets,Doja Cat,1,2019,11,7,5728,0,865640097,85,87,179,0,12
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368,155,"2,854",6,121
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,10,56,17,0,0
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,77,134,74,0,2
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,209,54,710,0,18
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,141,12,78,0,0
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78,46,"2,515",1,0
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272,67,"1,066",1,19
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,72,0,0,0,0
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,0
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,226897599,89,21,65,0,0
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,24,92,93,0,0
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,61,23,70,1,0
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,30,26,15,0,0
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,151,102,175,5,29
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,"6,591",1,0
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,4,113,20,0,1
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,76,0,102,0,2
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11,1430,0,146789379,46,1,34,0,0
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,142,40,"5,451",1,953
Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342,119,6,85,1,1
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,0
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,0
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,124,27,587,0,4
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35
she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054,105,12,51,0,12
Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997,13,0,113,1,3
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,33,123,7,0,4
Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627,22,13,65,0,6
Formula,Labrinth,1,2019,10,4,3444,7,554875730,24,85,102,0,1
Mount Everest,Labrinth,1,2019,6,21,5443,0,467727006,45,1,80,0,12
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,7,21,2,0,0
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,11,0,10,0,0
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,19,5,12,0,0
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,128,17,"1,663",0,0
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192,57,13,50,1,7
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128,44,63,91,0,24
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,"1,481",0,5
Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1
Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,5,1,62,0,0
A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800,21,20,40,0,0
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692,47,3,42,12,6
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,0
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,42,7,15,0,4
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,0
Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,0
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539,28,73,64,0,0
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253,43,36,46,13,4
Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639,3,0,28,0,1
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,363,129,"3,895",0,28
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868,47,116,266,0,0
Christmas Tree,V,1,2021,12,24,509,9,317622165,8,106,6,0,8
Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14,971,2,291709698,35,104,93,1,0
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,0
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,0
Forever,Labrinth,1,2019,10,4,3618,0,282883169,21,86,138,0,2
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,0
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,453,50,"1,785",1,8
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791,13,7,55,0,1
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,246,71,519,2,5
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,52,42,100,0,0
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862,45,27,"1,197",0,43
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472,69,2,51,11,0
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987,185,40,492,9,35
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162,46,16,53,1,2
Envolver,Anitta,1,2021,11,11,4673,2,546191065,123,113,180,1,4
Starlight,Dave,1,2022,3,3,1856,3,229473310,29,40,31,1,1
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468,12,4,0,0,0
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4,1888,0,121913181,26,1,58,0,0
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039,45,0,99,1,1
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089,18,82,0,0,5
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,0
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335,29,2,35,1,0
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895,42,0,24,0,0
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208,16,41,13,1,1
DARARI,Treasure,1,2022,2,15,328,0,182978249,10,21,7,0,9
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142,27,84,32,7,11
Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16,1550,0,109091573,0,0,14,0,0
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,26,1,19,0,0
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840,16,5,43,0,7
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1
Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31,40112,3,2197010679,321,162,"5,691",8,17
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,11,10,267,0,7
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073,233,82,531,1,1
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,"6,284",1,46
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558,10,0,70,0,0
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030,2,0,12,0,10
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453,36,2,11,0,14
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,336,188,"2,692",3,30
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,"2,179",0,44
O.O,NMIXX,1,2022,2,22,290,0,135444283,9,66,10,0,0
Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1,42798,0,1457139296,217,136,"6,508",1,
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197,15,48,50,0,3
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298,163,32,137,15,12
Plan A,Paulo Londra,1,2022,3,23,1105,0,240661097,32,0,19,0,0
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166,68,24,43,1,0
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291,55,3,32,0,0
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451,75,11,44,0,14
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339,21,0,31,0,0
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303,79,80,250,3,10
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063,28,124,13,0,1
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485,49,17,30,0,0
Chance,Paulo Londra,1,2022,4,6,225,0,89566512,11,0,7,0,0
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855,155,5,577,0,6
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209,24,0,52,0,0
Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328,52,25,32,0,10
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591,26,3,39,0,0
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385,14,0,11,0,0
Right On,Lil Baby,1,2022,4,8,1116,0,101780047,31,9,15,0,1
Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30,273,2,118381354,12,2,4,0,0
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,11,6,12,0,15
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991,5,0,4,0,1
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0,157990698,20,4,52,0,1
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831,32,0,49,0,0
Falling,Harry Styles,1,2019,12,13,7556,0,1023187129,124,24,254,0,8
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,0
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812,27,2,31,0,0
MANIAC,Stray Kids,1,2022,3,18,651,0,212234990,6,188,20,0,0
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998,229,57,"1,370",2,71
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795,10,2,13,0,1
Golden,Harry Styles,1,2019,12,13,8429,1,807015863,85,24,200,0,2
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613,203,1,"8,215",0,0
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590,32,6,46,0,1
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157,34,39,30,0,0
Still Life,BIGBANG,1,2022,4,5,181,0,53909146,16,14,7,0,0
Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932,228,105,"2,453",0,84
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,289,87,"2,430",0,36
N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089,52,16,65,0,206
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473,242,49,272,21,24
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106,38,13,32,0,0
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540,27,44,24,0,5
Un Ratito,Bad Bunny,1,2022,5,6,1112,6,417230415,7,30,13,1,1
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322,4,5,12,0,51
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180,4,0,22,0,0
Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297,7,21,11,0,0
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135,20,10,33,0,0
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12,2942,0,271666301,42,28,43,0,0
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299,9,11,22,1,0
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717,22,0,23,0,0
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659,8,25,18,1,0
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104,3,7,13,0,1
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883,8,30,13,1,1
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004,10,24,11,0,0
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,4,1,6,0,0
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,9,0,8,0,0
Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558,5,28,9,0,0
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754,10,30,13,0,33
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,1,0,5,0,0
Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161,4,15,10,0,0
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,7,0,7,0,0
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261,8,12,9,0,0
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576,48,4,34,1,0
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940,7,25,12,0,0
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890,9,7,14,0,1
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953,162,116,355,7,0
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965,35,0,3,0,0
Agosto,Bad Bunny,1,2022,5,6,897,0,246127838,6,20,8,0,0
House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434,10,2,150,0,0
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,1,0,3,0,0
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195,16,81,23,0,0
In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619,48,40,87,1,210
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087,0,0,0,0,0
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891,93,12,173,11,3
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,10,4,4,0,0
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137,52,9,46,0,1
Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,2,0,10,0,0
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,1,0,4,0,0
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729,28,42,23,0,0
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,2,0,4,0,0
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717,16,11,18,0,0
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0,164163229,19,0,7,0,0
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576,0,0,3,0,0
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832,10,22,3,0,0
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454,3,0,2,0,0
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518,23,16,9,0,5
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101,135,74,119,1,18
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,15,3,3,0,0
