in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
54,6,124,1,0
15,79,4,2,0
15,33,6,1,0
81,4,248,1,6
22,2,65,1,3
165,10,177,4,73
93,95,84,9,202
20,129,11,0,12
33,11,274,0,0
102,53,113,12,0
14,77,15,1,2
49,1,67,11,1
20,49,23,2,2
117,72,107,1,7
25,36,25,1,0
21,15,13,0,0
124,25,"7,827",1,0
24,0,805,0,0
10,1,8,0,0
6,1,6,0,0
15,0,0,0,0
18,10,13,1,1
3,0,2,0,0
38,0,24,0,0
78,65,328,1,198
16,0,9,0,0
14,1,13,0,0
14,116,9,0,11
77,10,119,0,40
31,21,15,0,4
41,0,158,2,68
86,14,80,0,37
2,129,13,0,1
0,0,31,0,
36,38,13,0,3
14,12,12,2,28
0,0,30,0,0
22,7,15,0,0
24,8,17,0,1
12,9,16,0,0
10,3,12,0,0
9,20,7,0,0
7,5,13,0,0
26,9,17,0,3
6,3,15,0,0
26,52,10,0,95
9,6,13,0,2
4,5,8,0,0
8,1,7,0,0
6,5,3,0,0
10,100,15,1,27
8,5,2,0,0
3,8,5,0,0
1,6,11,0,0
61,13,37,1,0
4,0,8,0,0
2,0,7,0,0
29,26,17,0,0
27,18,32,1,0
